tagIndex,tag_clean,event_count,movie_count,user_count
188,1 year later,4,3,2
189,1-4-2007,1,1,1
190,"1.19:1.aspect ratio,",14,1,14
191,1.33:1 aspect ratio,9,6,4
192,1.37 aspect ratio,1,1,1
193,1.37:1 aspect ratio,2,2,1
194,1.5,28,28,1
195,1.5 hours,5,5,1
196,1.5 stars only for anya,1,1,1
197,1.66:1 aspect ratio,1,1,1
198,1/18,3,3,1
199,10,1,1,1
200,10 downing street,1,1,1
201,10 downing street london,1,1,1
202,10 minutes of spinning crap,2,1,2
203,10 year old,18,18,1
204,10 year old boy,2,2,1
205,10 year old girl,2,2,1
206,10 years later,5,4,2
207,10-2-2008,1,1,1
208,10.000 b.c.,2,2,1
209,10.01.06,1,1,1
210,10.02.06,1,1,1
211,10.06.06,1,1,1
212,10/09,40,39,2
213,10/10,123,121,5
214,10/11,33,33,1
215,10/13,1,1,1
216,100 acre wood,1,1,1
217,100 essential female performances,104,90,11
218,100 greatest movies,84,54,27
219,100 minutes,1,1,1
220,100 years,1,1,1
221,100% brain power,1,1,1
222,100% predictable,1,1,1
223,1000 mile adventure,1,1,1
224,1000 year old,1,1,1
225,1000th rating,1,1,1
226,1001 night tales,1,1,1
227,1001 nights,3,3,1
228,1001 year old,1,1,1
229,1001th birthday,1,1,1
230,100th century b.c.,2,2,1
231,101st airborne,1,1,1
232,103 year old,1,1,1
233,1066,1,1,1
234,108 year old,1,1,1
235,10s,1,1,1
236,10th century,5,5,1
237,11 oscars,2,1,2
238,11 year old,11,10,2
239,11 year old boy,1,1,1
240,11 year old explicit violence,8,1,8
241,11 year old girl,3,2,2
242,11-2-2008,1,1,1
243,11-5-2007,2,2,1
244,11.01.06,1,1,1
245,11/09,54,54,1
246,11/10,163,163,2
247,11/11,148,148,1
248,11/13,1,1,1
249,115 gev,1,1,1
250,1150s,1,1,1
251,1160s,1,1,1
252,1170s,1,1,1
253,1180s,2,2,1
254,1190s,1,1,1
255,11th birthday,1,1,1
256,11th century,8,8,2
257,12 gauge shotgun,1,1,1
258,12 seconds,1,1,1
259,12 step program,4,4,2
260,12 year old,25,25,1
261,12 year old boy,4,4,1
262,12 year old girl,5,5,1
263,12 year time span,2,2,1
264,12 years in the making,25,1,25
265,12-1-2007,2,2,1
266,12-5-2007,1,1,1
267,12.01.06,1,1,1
268,12.03.06,1,1,1
269,12.06.06,1,1,1
270,12.28.08,1,1,1
271,12/09,60,60,1
272,12/10,136,136,1
273,12/11,125,125,1
274,12/13,1,1,1
275,1200s,1,1,1
276,1223,1,1,1
277,123,1,1,1
278,1240s,1,1,1
279,125 gev,1,1,1
280,125 rider,1,1,1
281,1250s b.c.,1,1,1
282,1290s b.c.,1,1,1
283,12step,1,1,1
284,12th century,20,17,5
285,13 year old,14,12,4
286,13 year old boy,3,3,1
287,13 year old girl,3,3,1
288,13-year-old,1,1,1
289,13.01.06,1,1,1
290,1300s,6,5,3
291,1304,2,2,1
292,1305,10,10,1
293,1330s,1,1,1
294,13th century,14,11,5
295,13th century b.c.,3,3,1
296,13th century bc,1,1,1
297,14 year gap,1,1,1
298,14 year old,20,20,1
299,14 year old boy,4,4,1
300,14 year old girl,5,5,1
301,14 year old teenage boy,1,1,1
302,14-10-2007,1,1,1
303,14-12-2006,1,1,1
304,14-2-2007,1,1,1
305,14.01.06,1,1,1
306,14.06.06,1,1,1
307,14.07.06,1,1,1
308,140 gev,1,1,1
309,1400s,4,4,1
310,1410s,1,1,1
311,1420s,2,2,1
312,143,2,2,1
313,1470s,1,1,1
314,1480s,1,1,1
315,14e arrondissement paris,1,1,1
316,14th amendment,1,1,1
317,14th century,28,18,11
318,14th century bc,1,1,1
319,14th century literature on screen,1,1,1
320,15 minute long flashback scene,1,1,1
321,15 minutes of fame,2,2,1
322,15 year old,15,15,1
323,15 year old girl,3,3,1
324,15 year old teenage boy,1,1,1
325,15 year old teenage girl,1,1,1
326,15 years later,1,1,1
327,15.01.06,1,1,1
328,15.02.06,2,2,2
329,1500s,6,6,1
330,1520s,2,2,1
331,1530s,1,1,1
332,1538,1,1,1
333,1540s,4,4,1
334,1550s,1,1,1
335,15555555555,1,1,1
336,1560s,1,1,1
337,1570s,2,2,1
338,1580s,1,1,1
339,1590s,2,2,1
340,1590s literature on screen,1,1,1
341,15th century,31,24,9
342,16 nic cages,1,1,1
343,16 stories,1,1,1
344,16 year old,23,23,1
345,16 year old boy,2,2,1
346,16 year old girl,5,5,1
347,16-year-old,1,1,1
348,16.01.06,2,1,2
349,1600s,16,14,5
350,160th soar,1,1,1
351,1610s,4,4,1
352,1620s,1,1,1
353,1630s,2,2,1
354,1640s,3,3,1
355,1660s,2,2,1
356,1670s,2,2,1
357,1680s,3,3,1
358,16mm,16,14,10
359,16mm camera,1,1,1
360,16mm film,1,1,1
361,16mm projector,2,2,1
362,16th birthday,3,3,2
363,16th century,89,51,28
364,16th century literature on screen,2,2,1
365,17 daughters,1,1,1
366,17 year old,20,19,2
367,17 year old boy,2,2,1
368,17 year old daughter,1,1,1
369,17 year old girl,4,4,1
370,17 year old teenage boy,1,1,1
371,17 year old teenage girl,1,1,1
372,17-1-2008,1,1,1
373,1700s,17,10,9
374,1720s,1,1,1
375,1740s,1,1,1
376,1750s,1,1,1
377,1760s,2,2,1
378,1770s,3,3,1
379,1780s,5,5,1
380,1790s,7,5,4
381,17th birthday,1,1,1
382,17th century,98,70,26
383,17th century england,1,1,1
384,18 wheeler,6,6,2
385,18 year old,24,22,3
386,18 year old boy,2,2,1
387,18 year old girl,5,5,1
388,18 year old man,1,1,1
389,18 year old teenage boy,1,1,1
390,18+,1,1,1
391,18-11-2006,1,1,1
392,18.01.06,1,1,1
393,18.03.06,1,1,1
394,1800's,1,1,1
395,1800s,68,41,38
396,1810s,8,8,1
397,1810s literature on screen,1,1,1
398,1820s,11,6,8
399,1823,1,1,1
400,1830,3,1,3
401,1830s,13,12,2
402,1840s,6,6,2
403,1840s literature on screen,2,2,1
404,1850s,9,8,2
405,1860s,22,21,3
406,1862 ten cent george washignton postage stamp,1,1,1
407,1870s,25,23,6
408,1880s,28,28,2
409,1880s literature on screen,1,1,1
410,1889,1,1,1
411,1890s,65,53,18
412,1890s literature on screen,1,1,1
413,1896,1,1,1
414,18th birthday,3,3,1
415,18th century,270,91,123
416,18th century literature on screen,2,2,1
417,18th century russia,1,1,1
418,19 century,1,1,1
419,19 year old,8,8,1
420,19 year old girl,1,1,1
421,19 year old teenage boy,1,1,1
422,19-8-2007,2,1,2
423,19.01.06,1,1,1
424,19.02.06,1,1,1
425,1900,1,1,1
426,1900's,1,1,1
427,1900s,63,54,20
428,1905 revolution,1,1,1
429,1910s,142,106,30
430,1911 colt pistol,1,1,1
431,1912,1,1,1
432,1917,1,1,1
433,1918,1,1,1
434,1919 ford model tt truck,1,1,1
435,1920's,30,3,30
436,1920s,395,177,163
437,1920s literature on screen,2,2,1
438,1922,1,1,1
439,1926,1,1,1
440,1929,1,1,1
441,1930's,4,3,4
442,1930s,592,281,173
443,1930s horror,1,1,1
444,1930s literature on screen,1,1,1
445,1930s to 2020s,3,3,1
446,1930ties,2,1,2
447,1934 bottle of wine,1,1,1
448,1936,1,1,1
449,1936 olympics,1,1,1
450,1936 summer olympics,1,1,1
451,1939,1,1,1
452,1940,1,1,1
453,1940 bottle of wine,1,1,1
454,1940's,16,12,10
455,1940's feel,1,1,1
456,1940s,485,350,96
457,1940s fashion,1,1,1
458,1940s literature on screen,1,1,1
459,1942,2,2,2
460,1943,5,3,4
461,1945,1,1,1
462,1947,2,2,2
463,1948 ford f 1 pickup,1,1,1
464,1950,4,2,4
465,1950 studebaker champion,1,1,1
466,1950's,6,5,5
467,1950's production,1,1,1
468,1950s,643,323,182
469,1950s brazil,1,1,1
470,1950s horror,2,2,1
471,1950s housewives,14,4,11
472,1950s literature on screen,5,5,1
473,1950s society,15,2,15
474,1955,3,1,3
475,1955 chevrolet,1,1,1
476,1956 winter olympics,1,1,1
477,1957,4,2,4
478,1957 chevrolet,2,2,1
479,1957 chevrolet convertible,1,1,1
480,1958,1,1,1
481,1959,1,1,1
482,1960,3,3,3
483,1960 olympics,1,1,1
484,1960's,5,4,5
485,1960's jim crow,4,1,4
486,1960s,1095,482,283
487,1960s aesthetic,1,1,1
488,1960s aesthetics,1,1,1
489,1960s fashion,2,2,1
490,1960s film,1,1,1
491,1960s horror,1,1,1
492,1960s literature on screen,4,4,1
493,1960s radical,1,1,1
494,1962,1,1,1
495,1963,3,3,3
496,1964,1,1,1
497,1965 cannes,1,1,1
498,1966,1,1,1
499,1968,6,4,5
500,1968 democratic national convention,2,2,1
501,1968 u.s. presidential election,3,3,1
502,1969,5,5,5
503,1969 dodge charger,2,2,1
504,1970,4,4,4
505,1970 oldsmobile,1,1,1
506,1970's,13,7,13
507,1970's exploitation style,1,1,1
508,1970s,1021,507,285
509,1970s aesthetic,1,1,1
510,1970s fashion,1,1,1
511,1970s film,3,3,1
512,1970s humour,5,1,5
513,1970s literature on screen,4,4,1
514,1970s movie,1,1,1
515,1970s new york,4,4,1
516,1970s period piece,1,1,1
517,1970s slang,1,1,1
518,1971,1,1,1
519,1971 bangladesh war,1,1,1
520,1972,1,1,1
521,1972 chevrolet,1,1,1
522,1973,4,4,3
523,1973 harley davidson 125 rcx motorcycle,1,1,1
524,1974,1,1,1
525,1976,2,2,2
526,1977,1,1,1
527,1977 harley davidson 1200 super glide motorycle,1,1,1
528,1977 harley davidson fx super glide motorcycle,1,1,1
529,1978,3,3,2
530,1979,1,1,1
531,1980,3,3,3
532,1980's,10,6,9
533,1980's cult,24,2,24
534,1980's stylings,10,3,10
535,1980s,1446,536,396
536,1980s film,26,26,1
537,1980s horror,1,1,1
538,1980s literature on screen,2,2,1
539,1980s music,2,2,1
540,1980s nostalgia,1,1,1
541,1980s throwback,1,1,1
542,1981,2,2,2
543,1982,2,2,2
544,1982 lebanon war,1,1,1
545,1984,20,5,19
546,1985,3,1,3
547,1986,4,4,4
548,1987,3,2,3
549,1988,3,2,2
550,1988 presidential campaign,1,1,1
551,1989,3,3,3
552,1990s,539,334,132
553,1990s horror,1,1,1
554,1990s literature on screen,1,1,1
555,1990s music,1,1,1
556,1990s song,1,1,1
557,1991,2,1,2
558,1993,2,2,2
559,1994,1,1,1
560,1995,1,1,1
561,1996,1,1,1
562,1997,1,1,1
563,1998,1,1,1
564,1999,1,1,1
565,1999 seattle protest,1,1,1
566,19th century,727,366,203
567,19th century literature on screen,10,10,1
568,19th century russia,1,1,1
569,1d characterisation,1,1,1
570,1st amendment,7,7,1
571,1st bad,1,1,1
572,1st birthday,1,1,1
573,1st century,13,13,1
574,1st century b.c.,3,3,2
575,2,33,32,2
576,2 hours long short film,4,1,4
577,2 movies in 1,15,2,15
578,2 or 3 hilarious parts - but too boring to see again,2,1,2
579,2 way radio,1,1,1
580,2 year old,1,1,1
581,2 years later,1,1,1
582,2+ hours,5,5,1
583,2-2-2008,1,1,1
584,2-2-208,1,1,1
585,2-dimensional,1,1,1
586,2.5,44,44,2
587,20 minutes,1,1,1
588,20 minutes into the future,1,1,1
589,20 year old,6,6,1
590,20 year old woman,1,1,1
591,20's,8,3,8
592,20.000 b.c.,1,1,1
593,20.01.06,1,1,1
594,20.03.06,1,1,1
595,20.08.05,2,1,2
596,2000,3,3,3
597,2000 a.d. comics,4,4,1
598,2000 style,1,1,1
599,2000 u.s. presidential election,1,1,1
600,2000's movies,1,1,1
601,2000s,268,229,38
602,2000s aesthetic,3,3,1
603,2000s classic,2,2,1
604,2000s horror,2,2,2
605,2001,3,3,2
606,2001 inverted,1,1,1
607,2001 knockoff,1,1,1
608,2001-like,1,1,1
609,2002,2,2,2
610,2003,2,2,2
611,2004,2,2,2
612,2005,1,1,1
613,2006,3,3,2
614,2006 best picture oscar nominee,2,2,2
615,2006 reissue in stereoscopic 3-d,1,1,1
616,20060407,1,1,1
617,2007,1,1,1
618,2008,2,2,2
619,2008 crisis,1,1,1
620,2009 reissue in stereoscopic 3-d,3,3,1
621,200th century b.c,1,1,1
622,2010,3,3,3
623,2010's,1,1,1
624,2010s,165,159,10
625,2010s horror,1,1,1
626,2010s literature on screen,1,1,1
627,2011,1,1,1
628,2012,2,2,1
629,2013,1,1,1
630,2014,38,36,6
631,2015,67,49,18
632,2015 academy award nomination animated feature film,5,5,1
633,2015 academy award nomination best actor,8,5,4
634,2015 academy award nomination best actor supporting role,10,5,5
635,2015 academy award nomination best actress,7,5,3
636,2015 academy award nomination best actress supporting role,12,5,8
637,2015 academy award nomination best picture,14,8,5
638,2016,55,51,7
639,2016 election,1,1,1
640,2016 u.s. election,1,1,1
641,2017,10,9,5
642,2018,24,23,3
643,2019,18,17,5
644,2020,42,42,5
645,2020s,45,41,7
646,2020s pretentiousness,1,1,1
647,2021,14,14,1
648,2022,2,2,2
649,2030s,14,8,7
650,2035,1,1,1
651,2040s,13,8,6
652,2050s,3,3,1
653,2060s,1,1,1
654,2070s,4,4,1
655,2080s,3,3,2
656,2090s,2,2,1
657,20s,12,5,10
658,20th birthday,2,2,1
659,20th century,140,131,18
660,20th century b.c.,1,1,1
661,20th century current events,1,1,1
662,20th century fox,20,20,1
663,20th century fox fanfare,3,1,3
664,20th century history,5,3,4
665,20th century literature on screen,42,42,1
666,20th century period piece,1,1,1
667,20th century studios,15,15,1
668,20th television,3,3,1
669,21 club manhattan new york city,2,2,1
670,21 year old,11,11,1
671,21 year old man,1,1,1
672,21.02.06,1,1,1
673,21.03.06,1,1,1
674,21.08.05,1,1,1
675,2100s,2,2,1
676,2140s,2,2,2
677,2170s,2,2,1
678,2190s,1,1,1
679,21st birthday,2,2,1
680,21st century,78,70,9
681,21st century literature on screen,6,6,1
682,21th century,3,3,1
683,22 year old,7,7,1
684,22 year old man,2,2,1
685,22-7-2007,1,1,1
686,22.01.06,1,1,1
687,220 foot free-fall,1,1,1
688,2200s,3,3,1
689,2250s,2,1,2
690,2270s,1,1,1
691,22nd century,9,9,2
692,23,1,1,1
693,23 star american flag,1,1,1
694,23 year old,6,6,1
695,23 year old man,2,2,1
696,23 year old woman,1,1,1
697,23-12-2007,1,1,1
698,23-5-2007,1,1,1
699,23.03.06,1,1,1
700,2300s,1,1,1
701,2323232,1,1,1
702,23rd century,19,16,4
703,23rd psalm,5,5,1
704,24 hour news media cycle,1,1,1
705,24 hour time span,1,1,1
706,24 hours,1,1,1
707,2410s,1,1,1
708,24th century,7,7,1
709,25,1,1,1
710,25 year old,6,6,1
711,25-02-2007,1,1,1
712,25.02.06,1,1,1
713,2500s,2,1,2
714,250th anniversary,1,1,1
715,25th anniversary,1,1,1
716,25th century,2,2,1
717,25th wedding anniversary,1,1,1
718,26 year old,4,4,1
719,26 year old woman,2,2,1
720,26.01.06,1,1,1
721,26.02.06,1,1,1
722,26.03.06,1,1,1
723,26th century,4,4,1
724,27 year old,5,5,1
725,27-01-2007,1,1,1
726,27-12-2007,3,3,1
727,27th century,1,1,1
728,28 days later rip-off,1,1,1
729,28 year old,2,2,1
730,28.06.06,2,1,2
731,28.12.05,1,1,1
732,29 year old,2,2,1
733,29--9-2007,1,1,1
734,29-11-2006,1,1,1
735,29.03.06,1,1,1
736,2cv,1,1,1
737,2d,6,4,5
738,2d animated,1,1,1
739,2d animation,192,85,62
740,2d characters,2,1,2
741,2d disney animation,11,1,11
742,2d female character,2,2,1
743,2d/3d hybrid animation,13,2,11
744,2nd amendment,3,2,2
745,2nd century,2,2,1
746,2nd ok,1,1,1
747,2nd world war,3,1,3
748,2pac,1,1,1
749,2rate,1,1,1
750,3,57,56,3
751,3 arts entertainment,1,1,1
752,3 boobs,1,1,1
753,3 dimensional,59,58,2
754,3 episodes,1,1,1
755,3 iron,1,1,1
756,3 little aliens toy,2,2,1
757,3 stars for special effects,2,1,2
758,3 stories,1,1,1
759,3 tissues,1,1,1
760,3 year old,2,2,1
761,3-12-2006,1,1,1
762,3-d,1,1,1
763,3-d animation,1,1,1
764,3-depix,1,1,1
765,3-hours of sex and drugs,42,1,42
766,3.5,33,33,1
767,3/11,1,1,1
768,30 daze of shite,1,1,1
769,30 for 30,8,8,5
770,30 minutes to get started,1,1,1
771,30 year old,3,3,1
772,30 year old woman,1,1,1
773,30 years,1,1,1
774,30% truth 70% story,2,1,2
775,30.03.06,1,1,1
776,300,1,1,1
777,300 a.d.,1,1,1
778,300 spoof,2,1,2
779,3000s,3,3,1
780,3020s,1,1,1
781,3040s,1,1,1
782,30s,15,14,8
783,30th anniversary,1,1,1
784,30th birthday,1,1,1
785,30th century,2,2,1
786,31-3-2007,1,1,1
787,31.03.06,1,1,1
788,31oct,1,1,1
789,31st century,2,2,1
790,32 year old,3,3,1
791,32 year old man,1,1,1
792,34 year old,2,2,1
793,34 year old woman,1,1,1
794,35 mm camera,1,1,1
795,35 year old,2,2,1
796,35 years later,1,1,1
797,35mm,12,7,10
798,360 degree pan,7,7,1
799,360 degree pan shot,1,1,1
800,360 degree panning,2,1,2
801,360 degree well camera shot,9,9,1
802,360 degree well shot,1,1,1
803,360 video,1,1,1
804,365 year old,1,1,1
805,38 year old man,1,1,1
806,3d,401,216,149
807,3d animation,12,11,4
808,3d character,1,1,1
809,3d effects,42,5,39
810,3d game,1,1,1
811,3d glasses,4,4,1
812,3d hologram,1,1,1
813,3d in title,5,4,2
814,3d in your face,2,1,2
815,3d printer,2,1,2
816,3d printing,6,2,6
817,3d sequel to 2d film,6,6,1
818,3d version,35,11,31
819,3rd century b.c.,1,1,1
820,3rd century bc,1,1,1
821,3rd ok,1,1,1
822,4,27,27,2
823,4 alternate versions,1,1,1
824,4 elements,1,1,1
825,4 episodes,1,1,1
826,4 h club,1,1,1
827,4 or 4.5?,1,1,1
828,4 stories,2,2,1
829,4 year lifespan,1,1,1
830,4 year old,3,3,1
831,4 year old boy,1,1,1
832,4 year old girl,2,2,1
833,4.5,1,1,1
834,4.5-filmafinity,1,1,1
835,40 year old,4,3,2
836,40 year old man,2,1,2
837,40 year old virgin,2,2,2
838,40's,1,1,1
839,4000s,1,1,1
840,40s,8,8,3
841,40th birthday,4,3,2
842,41 kills,1,1,1
843,41 year old,2,2,1
844,41 year old man,1,1,1
845,41st century,1,1,1
846,41st century b.c.,3,3,1
847,42 year old,2,2,1
848,42 year old man,1,1,1
849,420,5,5,1
850,42nd century,1,1,1
851,42nd street,2,2,1
852,42nd street manhattan new york city,7,7,1
853,43 year old,1,1,1
854,43 year old man,2,1,2
855,44 magnum,1,1,1
856,45 recording,1,1,1
857,45 rpm record player,1,1,1
858,45 year old,1,1,1
859,4500 mm camera lens,1,1,1
860,452 a.d.,1,1,1
861,45rpm record,2,2,1
862,46 stanza poem,1,1,1
863,47 ronin,1,1,1
864,48 fps,1,1,1
865,48 frames per second,3,3,1
866,48 hours,1,1,1
867,49er,1,1,1
868,4:3,10,2,10
869,4:3 aspect ratio,17,8,11
870,4:3 format,1,1,1
871,4:3 resolution,1,1,1
872,4chan,4,1,4
873,4d,1,1,1
874,4d dissociation,1,1,1
875,4h,1,1,1
876,4id,1,1,1
877,4k,299,294,4
878,4k hdr,1,1,1
879,4k television,2,2,1
880,4th amendment,1,1,1
881,4th century,3,3,2
882,4th dimension,2,2,2
883,4th of july,4,4,2
884,4th wall,137,14,108
885,4x4,2,2,1
886,5 stars,23,19,5
887,5 year old,2,2,1
888,5 years in coma,1,1,1
889,5 years later,1,1,1
890,5+ out of 5,3,3,1
891,"5,2-filmafinity",1,1,1
892,"5,4-filmaffinity",1,1,1
893,"5,6-filmafinity",1,1,1
894,5-7-2008,1,1,1
895,5-8-2007,2,2,1
896,5-filmaffinity,1,1,1
897,5.1-filmaffinity,1,1,1
898,5.3-filmaffinity,1,1,1
899,5.5-filmaffinity,2,2,1
900,5.7-filmaffinity,2,2,1
901,5.8-filmaffinity,1,1,1
902,5.9-filmaffinity,3,3,1
903,50 calibre machine gun,3,3,1
904,50 cent,6,5,5
905,50 shades of gray,1,1,1
906,50 year old,1,1,1
907,50's,2,2,2
908,50's & 60's,7,3,7
909,50's & 60's music,1,1,1
910,50's themed restaurant,1,1,1
911,50. caliber machine gun,2,2,1
912,5000 bc,1,1,1
913,50000 on double dragon,1,1,1
914,5000s b.c.,1,1,1
915,50s,115,98,21
916,50s b.c.,1,1,1
917,50s sci-fi,4,2,3
918,50s-60s popcorn movie,1,1,1
919,50th anniversary,1,1,1
920,50th birthday,1,1,1
921,53 christopher street manhattan,1,1,1
922,53 year old,1,1,1
923,55 filmaffinity,1,1,1
924,55 gallon drum,2,2,1
925,55 gallon drum of haardous waste,1,1,1
926,55 movies every kid should see--entertainment weekly,74,55,7
927,55 year old,2,1,2
928,55 year old man,2,1,2
929,555 phone number,22,21,2
930,59 year old,1,1,1
931,5\+++,1,1,1
932,5th century,3,2,3
933,5th century b.c.,3,3,1
934,5th century bc,3,3,1
935,5th millennium b.c.,2,2,1
936,6 months later,3,3,1
937,6 souls,2,1,2
938,6 weeks later,1,1,1
939,6 year old,6,5,2
940,6 year old boy,4,3,2
941,6 year old girl,1,1,1
942,"6,2-filmaffinity",1,1,1
943,"6,5-filmaffinity",1,1,1
944,6-10-2007,1,1,1
945,6-4-2007,1,1,1
946,6.1-filmaffinity,2,2,1
947,6.2-filmaffinity,3,3,1
948,6.3-filmaffinity,3,2,2
949,6.4-filmaffinity,1,1,1
950,6.5-filmaffinity,3,3,1
951,6.7-filmaffinity,2,2,1
952,6.8-filmaffinity,5,5,1
953,60 year old,3,3,1
954,60's,12,10,12
955,60s,78,50,50
956,60s fashion,1,1,1
957,60s horror,7,5,4
958,60s music,4,2,4
959,60s nostalgia,7,1,7
960,60s sci-fi,4,2,3
961,60s setting,28,6,25
962,60th birthday,1,1,1
963,60th wedding anniversary,1,1,1
964,63 year old,2,2,1
965,65 year old,1,1,1
966,65 year old man,1,1,1
967,6565858tfkjfk,1,1,1
968,65mm,1,1,1
